state,end,value,type
Alabama,2/18/2012,4240,h
Alabama,2/25/2012,4168,h
Alabama,3/3/2012,4643,h
Alabama,3/10/2012,4234,h
Alabama,3/17/2012,4299,h
Alabama,3/24/2012,4824,h
Alabama,3/31/2012,5080,h
Alabama,4/7/2012,5853,h
Alabama,4/14/2012,4409,h
Alabama,4/21/2012,4239,h
Alabama,4/28/2012,4845,h
Alabama,5/5/2012,5273,h
Alabama,5/12/2012,5128,h
Alabama,5/19/2012,5152,h
Alabama,5/26/2012,4934,h
Alabama,6/2/2012,5347,h
Alabama,6/9/2012,4819,h
Alabama,6/16/2012,4726,h
Alabama,6/23/2012,4781,h
Alabama,6/30/2012,6914,h
Alabama,7/7/2012,11062,h
Alabama,7/14/2012,5940,h
Alabama,7/21/2012,4607,h
Alabama,7/28/2012,4621,h
Alabama,8/4/2012,4467,h
Alabama,8/11/2012,4299,h
Alabama,8/18/2012,4176,h
Alabama,8/25/2012,4112,h
Alabama,9/1/2012,4265,h
Alabama,9/8/2012,4280,h
Alabama,9/15/2012,5103,h
Alabama,9/22/2012,4875,h
Alabama,9/29/2012,4553,h
Alabama,10/6/2012,5265,h
Alabama,10/13/2012,4661,h
Alabama,10/20/2012,4209,h
Alabama,10/27/2012,4710,h
Alabama,11/3/2012,5108,h
Alabama,11/10/2012,4456,h
Alabama,11/17/2012,3908,h
Alabama,11/24/2012,6576,h
Alabama,12/1/2012,4634,h
Alabama,12/8/2012,4270,h
Alabama,12/15/2012,4910,h
Alabama,12/22/2012,6823,h
Alabama,12/29/2012,13860,h
Alabama,1/5/2013,9615,h
Alabama,1/12/2013,6096,h
Alabama,1/19/2013,5729,h
Alabama,1/26/2013,4481,h
Alabama,2/2/2013,4305,h
Alabama,2/9/2013,3629,h
Alabama,2/16/2013,4222,h
Alabama,2/23/2013,4883,h
Alabama,3/2/2013,3800,h
Alabama,3/9/2013,3808,h
Alabama,3/16/2013,3956,h
Alabama,3/23/2013,4049,h
Alabama,3/30/2013,4441,h
Alabama,4/6/2013,4487,h
Alabama,4/13/2013,4085,h
Alabama,4/20/2013,3811,h
Alabama,4/27/2013,4337,h
Alabama,5/4/2013,4546,h
Alabama,5/11/2013,4629,h
Alabama,5/18/2013,4707,h
Alabama,5/25/2013,4657,h
Alabama,6/1/2013,4698,h
Alabama,6/8/2013,4468,h
Alabama,6/15/2013,4144,h
Alabama,6/22/2013,4370,h
Alabama,6/29/2013,5587,h
Alabama,7/6/2013,11433,h
Alabama,7/13/2013,5414,h
Alabama,7/20/2013,4067,h
Alabama,7/27/2013,4199,h
Alabama,8/3/2013,4115,h
Alabama,8/10/2013,3944,h
Alabama,8/17/2013,3808,h
Alabama,8/24/2013,3876,h
Alabama,8/31/2013,3666,h
Alabama,9/7/2013,4405,h
Alabama,9/14/2013,4349,h
Alabama,9/21/2013,3341,h
Alabama,9/28/2013,3894,h
Alabama,10/5/2013,4400,h
Alabama,10/12/2013,3781,h
Alabama,10/19/2013,3943,h
Alabama,10/26/2013,4158,h
Alabama,11/2/2013,4195,h
Alabama,11/9/2013,3650,h
Alabama,11/16/2013,3874,h
Alabama,11/23/2013,3081,h
Alabama,11/30/2013,6950,h
Alabama,12/7/2013,4145,h
Alabama,12/14/2013,4597,h
Alabama,12/21/2013,4861,h
Alabama,12/28/2013,11643,h
Alabama,1/4/2014,9004,h
Alabama,1/11/2014,6389,h
Alabama,1/18/2014,4080,h
Alabama,1/25/2014,3733,h
Alabama,2/1/2014,4924,h
Alabama,2/8/2014,3168,h
Alabama,2/15/2014,4427,h
Alabama,2/22/2014,3385,h
Alabama,3/1/2014,3487,h
Alabama,3/8/2014,3308,h
Alabama,3/15/2014,3394,h
Alabama,3/22/2014,3667,h
Alabama,3/29/2014,3941,h
Alabama,4/5/2014,3559,h
Alabama,4/12/2014,3178,h
Alabama,4/19/2014,3512,h
Alabama,4/26/2014,3524,h
Alabama,5/3/2014,3734,h
Alabama,5/10/2014,3622,h
Alabama,5/17/2014,3773,h
Alabama,5/24/2014,4241,h
Alabama,5/31/2014,4713,h
Alabama,6/7/2014,4434,h
Alabama,6/14/2014,3854,h
Alabama,6/21/2014,3467,h
Alabama,6/28/2014,3983,h
Alabama,7/5/2014,7155,h
Alabama,7/12/2014,4328,h
Alabama,7/19/2014,3587,h
Alabama,7/26/2014,3244,h
Alabama,8/2/2014,3284,h
Alabama,8/9/2014,3859,h
Alabama,8/16/2014,3170,h
Alabama,8/23/2014,3054,h
Alabama,8/30/2014,2997,h
Alabama,9/6/2014,3414,h
Alabama,9/13/2014,3107,h
Alabama,9/20/2014,2972,h
Alabama,9/27/2014,3130,h
Alabama,10/4/2014,3711,h
Alabama,10/11/2014,3147,h
Alabama,10/18/2014,3201,h
Alabama,10/25/2014,3433,h
Alabama,11/1/2014,3591,h
Alabama,11/8/2014,3085,h
Alabama,11/15/2014,4263,h
Alabama,11/22/2014,2977,h
Alabama,11/29/2014,4777,h
Alabama,12/6/2014,3194,h
Alabama,12/13/2014,4084,h
Alabama,12/20/2014,4230,h
Alabama,12/27/2014,7785,h
Alabama,1/3/2015,9139,h
Alabama,1/10/2015,4654,h
Alabama,1/17/2015,3284,h
Alabama,1/24/2015,3203,h
Alabama,1/31/2015,3060,h
Alabama,2/7/2015,2850,h
Alabama,2/14/2015,2772,h
Alabama,2/21/2015,4095,h
Alabama,2/28/2015,3382,h
Alabama,3/7/2015,3003,h
Alabama,3/14/2015,3130,h
Alabama,3/21/2015,3508,h
Alabama,3/28/2015,3347,h
Alabama,4/4/2015,4131,h
Alabama,4/11/2015,3385,h
Alabama,4/18/2015,3612,h
Alabama,4/25/2015,2964,h
Alabama,5/2/2015,3662,h
Alabama,5/9/2015,3545,h
Alabama,5/16/2015,3718,h
Alabama,5/23/2015,4077,h
Alabama,5/30/2015,4219,h
Alabama,6/6/2015,3429,h
Alabama,6/13/2015,3182,h
Alabama,6/20/2015,3152,h
Alabama,6/27/2015,3540,h
Alabama,7/4/2015,5906,h
Alabama,7/11/2015,4075,h
Alabama,7/18/2015,3091,h
Alabama,7/25/2015,2918,h
Alabama,8/1/2015,2987,h
Alabama,8/8/2015,2682,h
Alabama,8/15/2015,2881,h
Alabama,8/22/2015,3178,h
Alabama,8/29/2015,2955,h
Alabama,9/5/2015,2273,h
Alabama,9/12/2015,2529,h
Alabama,9/19/2015,2434,h
Alabama,9/26/2015,2809,h
